internalTaxonId,scientificName,name,language,main
1154,Amorphochilus schnablii,Felsenküsten-Stummeldaumen,German,false
1154,Amorphochilus schnablii,Smoky Bat,English,true
18655,Mirimiri acrodonta,Fijian Monkey-faced Bat,English,true
18656,Pteralopex anceps,Bougainville Monkey-faced Bat,English,true
18657,Pteralopex atrata,Cusp-toothed Flying Fox,English,false
18657,Pteralopex atrata,Cusp-toothed Fruit Bat,English,false
18657,Pteralopex atrata,Cusp-toothed Monkey-faced Bat,English,false
18657,Pteralopex atrata,Guadalcanal Monkey-faced Bat,English,true
9979,Hesperoptenus tomesi,Tomes' False Serotine,English,false
9979,Hesperoptenus tomesi,Kelawar Petang Palsu,Malay,false
9979,Hesperoptenus tomesi,Large False Serotine,English,true
99688187,Pteropus chrysoproctus,Ambon Flying-fox,English,false
99688187,Pteropus chrysoproctus,Zorro Volador De Amboina,Spanish; Castilian,false
99688187,Pteropus chrysoproctus,Moluccan Flying Fox,English,true
18719,Pteropus caniceps,Ashy-headed Flying-fox,English,false
18719,Pteropus caniceps,Zorro Volador De Cabeza Ceniciento,Spanish; Castilian,false
18719,Pteropus caniceps,North Moluccan Flying Fox,English,true
18714,Pteropus aldabrensis,Aldabra Flying Fox,English,false
18714,Pteropus aldabrensis,Zorro Volador De Aldabra,Spanish; Castilian,false
18714,Pteropus aldabrensis,Aldabra Flying-fox,English,true
18716,Pteropus anetianus,White Flying-fox,English,false
18716,Pteropus anetianus,White Flying Fox,English,false
18716,Pteropus anetianus,Vanuatu Flying Fox,English,true
18723,Pteropus faunulus,Nicobar Flying Fox,English,true
18724,Pteropus fundatus,Zorro Volador De Las Islas Banks,Spanish; Castilian,false
18724,Pteropus fundatus,Banks Flying Fox,English,true
18721,Pteropus conspicillatus,Spectacled Flying-fox,English,false
18721,Pteropus conspicillatus,Zorro Volador De Anteojos,Spanish; Castilian,false
18721,Pteropus conspicillatus,Spectacled Flying Fox,English,true
18722,Pteropus dasymallus,Ryukyu Flying-fox,English,false
18722,Pteropus dasymallus,Renard Volant des Ryukyu,French,false
18722,Pteropus dasymallus,Roussette des Ryukyu,French,false
18722,Pteropus dasymallus,Ryukyu-Flughund,German,false
18722,Pteropus dasymallus,Zorro Volador De Ryu-kyu,Spanish; Castilian,false
18722,Pteropus dasymallus,Ryukyu Flying Fox,English,true
18727,Pteropus griseus,Gray Flying-fox,English,false
18727,Pteropus griseus,Zorro Volador Gris,Spanish; Castilian,false
18727,Pteropus griseus,Gray Flying Fox,English,true
18728,Pteropus howensis,Zorro Volador de Lord Howe,Spanish; Castilian,false
18728,Pteropus howensis,Ontong Java Flying Fox,English,true
18726,Pteropus gilliardorum,Gilliard's Flying-fox,English,false
18726,Pteropus gilliardorum,Zorro Volador De Gilliard,Spanish; Castilian,false
18726,Pteropus gilliardorum,Gilliard's Flying Fox,English,true
18731,Desmalopex leucopterus,Mottle-winged Flying Fox,English,false
18731,Desmalopex leucopterus,Zorro Volador De Luzón,Spanish; Castilian,false
18731,Desmalopex leucopterus,White-winged Flying Fox,English,true
18732,Pteropus livingstonii,Comoro Black Flying Fox,English,false
18732,Pteropus livingstonii,Livingstone’s Fruit Bat,English,false
18732,Pteropus livingstonii,M'la Manga Moudou,Swahili,false
18732,Pteropus livingstonii,Ndema,Swahili,false
18732,Pteropus livingstonii,Ntremela,Swahili,false
18732,Pteropus livingstonii, Roussette de Livingstone,French,false
18732,Pteropus livingstonii,Zorro Volador De Livingston,Spanish; Castilian,false
18732,Pteropus livingstonii,Livingstone's Flying Fox,English,true
85043053,Pteropus pelagicus,Caroline Islands Flying Fox,English,false
85043053,Pteropus pelagicus,Chuuk Fruit Bat,English,false
85043053,Pteropus pelagicus,Mortlock Islands Flying Fox,English,false
85043053,Pteropus pelagicus,Ruck Flying Fox,English,false
85043053,Pteropus pelagicus,Truk Flying Fox,English,false
85043053,Pteropus pelagicus,Roussette Des Îles Chuuk,French,false
85043053,Pteropus pelagicus,Chuuk Flying Fox,English,true
18734,Pteropus lylei,Zorro Volador De Lyle,Spanish; Castilian,false
18734,Pteropus lylei,Lyle's Flying Fox,English,true
18740,Pteropus melanotus,Black-eared Flying Fox,English,false
18740,Pteropus melanotus,Christmas Island Flying Fox,English,false
18740,Pteropus melanotus,Kalong Enggano,Undetermined,false
18740,Pteropus melanotus,Zorro Volador de Andaman,Spanish; Castilian,false
18740,Pteropus melanotus,Blyth's Flying Fox,English,true
18739,Pteropus melanopogon,Zorro Volador De Barba Negra,Spanish; Castilian,false
18739,Pteropus melanopogon,Black-bearded Flying Fox,English,true
13884,Mormopterus minutus,Little Goblin Bat,English,false
188566753,Pteropus mariannus,Marianas Flying Fox,English,false
188566753,Pteropus mariannus,Pagan Island Fruit Bat,English,false
188566753,Pteropus mariannus,Fanihi,Chamorro,false
188566753,Pteropus mariannus,Roussette des Îles Marianes,French,false
188566753,Pteropus mariannus,Mariana Fruit Bat,English,true
13887,Mormopterus phrudus,Incan Little Mastiff Bat,English,true
18744,Pteropus nitendiensis,Zorro Volador De La Isla Ndeni,Spanish; Castilian,false
18744,Pteropus nitendiensis,Temotu Flying Fox,English,true
18741,Pteropus molossinus,Caroline Flying Fox,English,false
18741,Pteropus molossinus,Pohnpei Flying-fox,English,false
18741,Pteropus molossinus,Pohnpei Fruit Bat,English,false
18741,Pteropus molossinus,Renard Volant De Ponape,French,false
18741,Pteropus molossinus,Pohnpei Flying Fox,English,true
18746,Pteropus ornatus,Roussette Rousse,French,false
18746,Pteropus ornatus,Zorro Volador De Las Islas De La Leal,Spanish; Castilian,false
18746,Pteropus ornatus,Ornate Flying Fox,English,true
71733227,Mormopterus acetabulosus,Mauritian Free-tailed Bat,English,true
18752,Pteropus pselaphon,Bonin Fruit Bat,English,false
18752,Pteropus pselaphon,Renard volant des Îles Bonin ,French,false
18752,Pteropus pselaphon,Roussette des Îles Bonin ,French,false
18752,Pteropus pselaphon,Zorro Volador De Las Isla Bonin,Spanish; Castilian,false
18752,Pteropus pselaphon,Bonin Flying Fox,English,true
18751,Pteropus poliocephalus,Gray-headed Flying Fox,English,false
18751,Pteropus poliocephalus,Grey-headed Flying-fox,English,false
18751,Pteropus poliocephalus,Zorro Volador de Cabeza Gris,Spanish; Castilian,false
18751,Pteropus poliocephalus,Grey-headed Flying Fox,English,true
18750,Pteropus pohlei,Geelvink Bay Fruit Bat,English,false
18750,Pteropus pohlei,Yapen Flying Fox,English,false
18750,Pteropus pohlei,Zorro Volador de las Isla Japen,Spanish; Castilian,false
18750,Pteropus pohlei,Geelvink Bay Flying Fox,English,true
18755,Pteropus rodricensis,Golden Bat of Rodrigues,English,false
18755,Pteropus rodricensis,Rodrigues Fruit Bat,English,false
18755,Pteropus rodricensis,Chauve-Souris de Rodrigues ,French,false
18755,Pteropus rodricensis,Zorro Volador De La Isla Rodrígues,Spanish; Castilian,false
18755,Pteropus rodricensis,Rodrigues Flying Fox,English,true
18756,Pteropus rufus,Madagascar Flying-fox,English,false
18756,Pteropus rufus,Madagascar Fruit Bat,English,false
18756,Pteropus rufus,Fanihy,Malagasy,false
18756,Pteropus rufus,Renard volant,French,false
18756,Pteropus rufus,Zorro Volador de Madagascar,Spanish; Castilian,false
18756,Pteropus rufus,Madagascan Flying Fox,English,true
18762,Pteropus temminckii,Zorro Volador De Temminck,Spanish; Castilian,false
18762,Pteropus temminckii,Temminck's Flying Fox,English,true
18765,Pteropus tuberculatus,Zorro Volador De La Isla Jawi,Spanish; Castilian,false
18765,Pteropus tuberculatus,Vanikoro Flying Fox,English,true
18766,Pteropus vampyrus,Large Flying Fox,English,false
18766,Pteropus vampyrus,Malayan Flying Fox,English,false
18766,Pteropus vampyrus,Bayakan,Philippine (Other),false
18766,Pteropus vampyrus,Bengkawat (Kalimantan),Indonesian,false
18766,Pteropus vampyrus,Dơi ngựa lớn,Vietnamese,false
18766,Pteropus vampyrus,Dơi quạ,Vietnamese,false
18766,Pteropus vampyrus,Kabog (Visayan),Philippine (Other),false
18766,Pteropus vampyrus,Kalong,Indonesian,false
18766,Pteropus vampyrus,Kang Kao Mae Kai,Thai,false
18766,Pteropus vampyrus,Keluang Besar,Malay,false
18766,Pteropus vampyrus,Khangkao Maekai Pafon (ค้างคาวแม่ไก่ป่าฝน),Thai,false
18766,Pteropus vampyrus,Paing,Indonesian,false
18766,Pteropus vampyrus,Paniki (Filipino/Tagalog),Philippine (Other),false
18766,Pteropus vampyrus,Zorro Volador De Cuello Rojo,Spanish; Castilian,false
18766,Pteropus vampyrus,Large Flying-fox,English,true
18768,Pteropus voeltzkowi,Zorro Volador de Voeltzkow,Spanish; Castilian,false
18768,Pteropus voeltzkowi,Pemba Flying Fox,English,true
5112,Coleura seychellensis,Seychelles Sheath-tailed Bat,English,true
10131,Hipposideros durgadasi,Khajuria's Leaf-nosed Bat,English,false
10131,Hipposideros durgadasi,Khajuria’s Leaf-nosed Bat,English,false
10131,Hipposideros durgadasi,Durga Das's Leaf-nosed Bat,English,true
10129,Hipposideros dinops,Fierce Roundleaf Bat,English,false
10129,Hipposideros dinops,Giant Horseshoe Bat,English,false
10129,Hipposideros dinops,Fierce Leaf-nosed Bat,English,true
13936,Murina aenea,Kelawar Bulu Emas,Malay,false
13936,Murina aenea,Bronze Tube-nosed Bat,English,true
10141,Hipposideros lamottei,Lamottes Rundblattnase,German,false
10141,Hipposideros lamottei,Nimba Rundblattnase,German,false
10141,Hipposideros lamottei,Phyllorhine de Lamotte,French,false
10141,Hipposideros lamottei,Lamotte's Roundleaf Bat,English,true
10137,Hipposideros halophyllus,Thailand Roundleaf Bat,English,false
10137,Hipposideros halophyllus,Thailand Leaf-nosed Bat,English,true
10138,Hipposideros hypophyllus,Leafletted Leaf-nosed Bat,English,false
10138,Hipposideros hypophyllus,Kolar Leaf-nosed Bat,English,true
10127,Hipposideros demissus,Makira Horseshoe Bat,English,false
10127,Hipposideros demissus,Makira Leaf-nosed Bat,English,true
10125,Hipposideros curtus,Kurzschwanz-Rundblattnase,German,false
10125,Hipposideros curtus,Phyllorhine à queue courte,French,false
